"","Name","Area","Zone"
"156","St. Stephen's School","BEDOK","East"
"157","Tampines North Primary School","TAMPINES","East"
"158","Tampines Primary School","TAMPINES","East"
"159","Tanjong Katong Primary School","MARINE PARADE","East"
"160","Tao Nan School","MARINE PARADE","East"
"161","Teck Ghee Primary School","ANG MO KIO","South"
"162","Teck Whye Primary School","CHUA CHU KANG","West"
"163","Telok Kurau Primary School","BEDOK","East"
"164","Temasek Primary School","BEDOK","East"
"165","Townsville Primary School","ANG MO KIO","South"
"166","Unity Primary School","CHUA CHU KANG","West"
"167","Waterway Primary School","PUNGGOL","East"
"168","Wellington Primary School","SEMBAWANG","North"
"169","West Grove Primary School","JURONG WEST","West"
"170","West Spring Primary School","BUKIT PANJANG","West"
"171","Westwood Primary School","JURONG WEST","West"
"172","West View Primary School","BUKIT PANJANG","West"
"173","White Sands Primary School","PASIR RIS","East"
"174","Woodgrove Primary School","WOODLANDS","North"
"175","Woodlands Primary School","WOODLANDS","North"
"176","Woodlands Ring Primary School","WOODLANDS","North"
"177","Xinghua Primary School","HOUGANG","South"
"178","Xingnan Primary School","JURONG WEST","West"
"179","Xinmin Primary School","HOUGANG","North"
"180","Xishan Primary School","YISHUN","North"
"181","Yangzheng Primary School","SERANGOON","South"
"182","Yew Tee Primary School","CHUA CHU KANG","West"
"183","Yio Chu Kang Primary School","HOUGANG","North"
"184","Yishun Primary School","YISHUN","North"
"185","Yu Neng Primary School","BEDOK","East"
"186","Yuhua Primary School","JURONG EAST","West"
"187","Yumin Primary School","TAMPINES","East"
"188","Zhangde Primary School","BUKIT MERAH","South"
"189","Zhenghua Primary School","BUKIT PANJANG","West"
"190","Zhonghua Primary School","SERANGOON","South"
